PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Qian, JM; Guo, XS; Wang, TT; Liu, PT; Zhang, H; Gao, DQ				Qian, Jinmei; Guo, Xiaosong; Wang, Tongtong; Liu, Peitao; Zhang, Hong; Gao, Daqiang			Bifunctional porous Co-doped NiO nanoflowers electrocatalysts for rechargeable zinc-air batteries	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						71	77		10.1016/j.apcatb.2019.03.021								WOS:000465051700008						
J	Ye, SJ; Yan, M; Tan, XF; Liang, J; Zeng, GM; Wu, HP; Song, B; Zhou, CY; Yang, Y; Wang, H				Ye, Shujing; Yan, Min; Tan, Xiaofei; Liang, Jie; Zeng, Guangming; Wu, Haipeng; Song, Biao; Zhou, Chengyun; Yang, Yang; Wang, Han			Facile assembled biochar-based nanocomposite with improved graphitization for efficient photocatalytic activity driven by visible light	APPLIED CATALYSIS B-ENVIRONMENTAL																Wu, Haipeng/O-2852-2015	Wu, Haipeng/0000-0002-9888-6959												0926-3373	1873-3883				AUG 5	2019	250						78	88		10.1016/j.apcatb.2019.03.004								WOS:000465051700009						
J	Wang, K; Peng, T; Wang, ZM; Wang, H; Chen, X; Dai, WX; Fu, XZ				Wang, Kun; Peng, Ting; Wang, Zhongming; Wang, Hong; Chen, Xun; Dai, Wenxin; Fu, Xianzhi			Correlation between the H-2 response and its oxidation over TiO2 and N doped TiO2 under UV irradiation induced by Fermi level	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						89	98		10.1016/j.apcatb.2019.03.026								WOS:000465051700010						
J	He, P; Jarvis, JS; Meng, SJ; Li, QY; Bernard, GM; Liu, LJ; Mao, XH; Jiang, Z; Zeng, HB; Michaelis, VK; Song, H				He, Peng; Jarvis, Jack S.; Meng, Shijun; Li, Qingyin; Bernard, Guy M.; Liu, Lijia; Mao, Xiaohui; Jiang, Zhao; Zeng, Hongbo; Michaelis, Vladimir K.; Song, Hua			Co-aromatization of methane with propane over Zn/HZSM-5: The methane reaction pathway and the effect of Zn distribution	APPLIED CATALYSIS B-ENVIRONMENTAL																	He, Peng/0000-0002-7141-4660												0926-3373	1873-3883				AUG 5	2019	250						99	111		10.1016/j.apcatb.2019.03.011								WOS:000465051700011						
J	Kato, Y; Yamamoto, M; Ozawa, A; Tanabe, T; Yoshida, T				Kato, Yuma; Yamamoto, Muneaki; Ozawa, Akiyo; Tanabe, Tetsuo; Yoshida, Tomoko			Preparation of visible-light-responsive photocatalyst by dehydronitrization of gallium oxide hydroxide for hydrogen evolution from water	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						112	116		10.1016/j.apcatb.2019.03.009								WOS:000465051700012						
J	Friberg, I; Sadokhina, N; Olsson, L				Friberg, Ida; Sadokhina, Nadezda; Olsson, Louise			The effect of Si/Al ratio of zeolite supported Pd for complete CH4 oxidation in the presence of water vapor and SO2	APPLIED CATALYSIS B-ENVIRONMENTAL																	Olsson, Louise/0000-0002-8308-0784												0926-3373	1873-3883				AUG 5	2019	250						117	131		10.1016/j.apcatb.2019.03.005								WOS:000465051700013						
J	Wang, X; Jin, BF; Feng, RX; Liu, W; Weng, D; Wu, XD; Liu, S				Wang, Xin; Jin, Baofang; Feng, Ruixue; Liu, Wei; Weng, Duan; Wu, Xiaodong; Liu, Shuang			A robust core-shell silver soot oxidation catalyst driven by Co3O4: Effect of tandem oxygen delivery and Co3O4-CeO2 synergy	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						132	142		10.1016/j.apcatb.2019.03.019								WOS:000465051700014						
J	Jin, HH; Zhou, H; He, DP; Wang, ZH; Wu, QL; Liang, QR; Liu, SL; Mu, SC				Jin, Huihui; Zhou, Huang; He, Daping; Wang, Zhihao; Wu, Qilei; Liang, Qirui; Liu, Suli; Mu, Shichun			MOF-derived 3D Fe-N-S co-doped carbon matrix/nanotube nanocomposites with advanced oxygen reduction activity and stability in both acidic and alkaline media	APPLIED CATALYSIS B-ENVIRONMENTAL																He, Daping/L-3044-2017; Mu, Shichun/C-4204-2012	He, Daping/0000-0002-0284-4990; Mu, Shichun/0000-0003-3902-0976												0926-3373	1873-3883				AUG 5	2019	250						143	149		10.1016/j.apcatb.2019.03.013								WOS:000465051700015						
J	Li, YY; Fang, Y; Cao, ZL; Li, NJ; Chen, DY; Xu, QF; Lu, JM				Li, Yuanyuan; Fang, Yu; Cao, Zhenlei; Li, Najun; Chen, Dongyun; Xu, Qingfeng; Lu, Jianmei			Construction of g-C3N4/PDI@MOF heterojunctions for the highly efficient visible light-driven degradation of pharmaceutical and phenolic micropollutants	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						150	162		10.1016/j.apcatb.2019.03.024								WOS:000465051700016						
J	Yan, AH; Shi, XW; Huang, F; Fujitsuka, M; Majima, T				Yan, Aihua; Shi, Xiaowei; Huang, Fei; Fujitsuka, Mamoru; Majima, Tetsuro			Efficient photocatalytic H-2 evolution using NiS/ZnIn2S4 heterostructures with enhanced charge separation and interfacial charge transfer	APPLIED CATALYSIS B-ENVIRONMENTAL																	Huang, Fei/0000-0002-3805-8107												0926-3373	1873-3883				AUG 5	2019	250						163	170		10.1016/j.apcatb.2019.02.075								WOS:000465051700017						
J	Wang, YH; Shi, HH; Cui, K; Yu, JH				Wang, Yanhu; Shi, Huihui; Cui, Kang; Yu, Jinghua			Engineering organic/inorganic hierarchical photocathode for efficient and stable quasi-solid-state photoelectrochemical fuel cells	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						171	180		10.1016/j.apcatb.2019.03.022								WOS:000465051700018						
J	Jang, JG; Lee, YK				Jang, Jung-Geun; Lee, Yong-Kul			Promotional effect of Ga for Ni2P catalyst on hydrodesulfurization of 4,6-DMDBT	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						181	188		10.1016/j.apcatb.2019.01.087								WOS:000465051700019						
J	Xia, H; Zhang, Z; Liu, J; Ning, XM; Zhang, ST; Lu, XQ				Xia, Hong; Zhang, Zhen; Liu, Jia; Ning, Xingming; Zhang, Shouting; Lu, Xiaoquan			Developing superior catalysts engineered by multichannel healing strategy for advanced oxidation	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						189	199		10.1016/j.apcatb.2019.03.033								WOS:000465051700020						
J	Yoo, IH; Kalanur, SS; Seo, H				Yoo, Il-han; Kalanur, Shankara S.; Seo, Hyungtak			A nanoscale p-n junction photoelectrode consisting of an NiOx layer on a TiO2/CdS nanorod core-shell structure for highly efficient solar water splitting	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						200	212		10.1016/j.apcatb.2019.02.063								WOS:000465051700021						
J	Chen, ZL; Xu, HB; Ha, Y; Li, XY; Liu, M; Wu, RB				Chen, Ziliang; Xu, Hongbin; Ha, Yuan; Li, Xuanyi; Liu, Miao; Wu, Renbing			Two-dimensional dual carbon-coupled defective nickel quantum dots towards highly efficient overall water splitting	APPLIED CATALYSIS B-ENVIRONMENTAL																QIAN, LIU/S-1353-2019; Liu, Miao/L-8806-2019	Liu, Miao/0000-0002-1843-9519												0926-3373	1873-3883				AUG 5	2019	250						213	223		10.1016/j.apcatb.2019.03.032								WOS:000465051700022						
J	Chong, RF; Du, YQ; Chang, ZX; Jia, YS; Qiao, Y; Liu, SH; Liu, Y; Zhou, YM; Li, DL				Chong, Ruifeng; Du, Yuqing; Chang, Zhixian; Jia, Yushuai; Qiao, Yan; Liu, Shanhu; Liu, Yong; Zhou, Yanmei; Li, Deliang			2D Co-incorporated hydroxyapatite nanoarchitecture as a potential efficient oxygen evolution cocatalyst for boosting photoelectrochemical water splitting on Fe2O3 photoanode	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						224	233		10.1016/j.apcatb.2019.03.038								WOS:000465051700023						
J	Zhao, HG; Zhang, H; Liu, GJ; Tong, X; Liu, JB; Selopal, GS; Wang, YQ; Wang, ZMM; Sun, SH; Rosei, F				Zhao, Haiguang; Zhang, Hui; Liu, Guiju; Tong, Xin; Liu, Jiabin; Selopal, Gurpreet S.; Wang, Yiqian; Wang, Zhiming M.; Sun, Shuhui; Rosei, Federico			Ultra-small colloidal heavy-metal-free nanoplatelets for efficient hydrogen generation	APPLIED CATALYSIS B-ENVIRONMENTAL																Tong, Xin/O-8992-2019	Tong, Xin/0000-0001-6066-056X; Liu, Jiabin/0000-0003-1997-1002												0926-3373	1873-3883				AUG 5	2019	250						234	241		10.1016/j.apcatb.2019.03.028								WOS:000465051700024						
J	Yazdan-Abad, MZ; Noroozifar, M; Douk, AS; Modarresi-Alam, AR; Saravani, H				Yazdan-Abad, Mehdi Zareie; Noroozifar, Meissam; Douk, Abdollatif Shafaei; Modarresi-Alam, Ali Reza; Saravani, Hamideh			Shape engineering of palladium aerogels assembled by nanosheets to achieve a high performance electrocatalyst	APPLIED CATALYSIS B-ENVIRONMENTAL																	Noroozifar, Meissam/0000-0001-7997-0461												0926-3373	1873-3883				AUG 5	2019	250						242	249		10.1016/j.apcatb.2019.02.064								WOS:000465051700025						
J	Liu, LN; Zhang, ZK; Das, S; Kawi, S				Liu, Lina; Zhang, Zhikun; Das, Sonali; Kawi, Sibudjing			Reforming of tar from biomass gasification in a hybrid catalysis-plasma system: A review	APPLIED CATALYSIS B-ENVIRONMENTAL																	Liu, Lina/0000-0002-7846-2454												0926-3373	1873-3883				AUG 5	2019	250						250	272		10.1016/j.apcatb.2019.03.039								WOS:000465051700026						
J	Zhang, RY; Li, PH; Wang, F; Ye, LQ; Gaur, A; Huang, ZA; Zhao, ZY; Bai, Y; Zhou, Y				Zhang, Ruiyang; Li, Penghui; Wang, Fang; Ye, Liqun; Gaur, Abhijeet; Huang, Zeai; Zhao, Ziyan; Bai, Yang; Zhou, Ying			Atomically dispersed Mo atoms on amorphous g-C3N4 promotes visible-light absorption and charge carriers transfer	APPLIED CATALYSIS B-ENVIRONMENTAL																Zhou, Ying/A-1122-2014	Zhou, Ying/0000-0001-9995-0652												0926-3373	1873-3883				AUG 5	2019	250						273	279		10.1016/j.apcatb.2019.03.025								WOS:000465051700027						
J	Zheng, Y; Zhao, N; Chen, JX				Zheng, Ying; Zhao, Ning; Chen, Jixiang			Enhanced direct deoxygenation of anisole to benzene on SiO2-supported NiGa alloy and intermetallic compound	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						280	291		10.1016/j.apcatb.2019.02.073								WOS:000465051700028						
J	Al Cheikh, J; Villagra, A; Ranjbari, A; Pradon, A; Antuch, M; Dragoe, D; Millet, P; Assaud, L				Al Cheikh, Joumada; Villagra, Angel; Ranjbari, Alireza; Pradon, Alexandre; Antuch, Manuel; Dragoe, Diana; Millet, Pierre; Assaud, Loic			Engineering a cobalt clathrochelate/glassy carbon interface for the hydrogen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						292	300		10.1016/j.apcatb.2019.03.036								WOS:000465051700029						
J	He, GY; Zhang, JH; Hu, Y; Bai, ZG; Wei, CH				He, Guangying; Zhang, Jinhui; Hu, Yun; Bai, Zhaogao; Wei, Chaohai			Dual-template synthesis of mesoporous TiO2 nanotubes with structure enhanced functional photocatalytic performance	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						301	312		10.1016/j.apcatb.2019.03.027								WOS:000465051700030						
J	Zhang, GP; Chen, DY; Li, NJ; Xu, QF; Li, H; He, JH; Lu, JM				Zhang, Guping; Chen, Dongyun; Li, Najun; Xu, Qingfeng; Li, Hua; He, Jinghui; Lu, Jianmei			Fabrication of Bi2MoO6/ZnO hierarchical heterostructures with enhanced visible-light photocatalytic activity	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						313	324		10.1016/j.apcatb.2019.03.055								WOS:000465051700031						
J	Saha, R; Sekar, G				Saha, Rajib; Sekar, Govindasamy			Selective oxidation of alkylarenes to aromatic acids/ketone in water by using reusable binaphthyl stabilized Pt nanoparticles (Pt-BNP) as catalyst	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						325	336		10.1016/j.apcatb.2019.03.052								WOS:000465051700032						
J	Liu, HL; Ma, YP; Chen, JY; Wen, MC; Li, GY; An, TC				Liu, Hongli; Ma, Yaping; Chen, Jiangyao; Wen, Meicheng; Li, Guiying; An, Taicheng			Highly efficient visible-light-driven photocatalytic degradation of VOCs by CO2-assisted synthesized mesoporous carbon confined mixed-phase TiO2 nanocomposites derived from MOFs	APPLIED CATALYSIS B-ENVIRONMENTAL																Li, Guiying/I-1370-2014	Li, Guiying/0000-0002-6777-4786												0926-3373	1873-3883				AUG 5	2019	250						337	346		10.1016/j.apcatb.2019.03.054								WOS:000465051700033						
J	Ma, C; Hou, PF; Wang, XP; Wang, Z; Li, WT; Kang, P				Ma, Chen; Hou, Pengfei; Wang, Xiuping; Wang, Zhuo; Li, Wenting; Kang, Peng			Carbon nanotubes with rich pyridinic nitrogen for gas phase CO2 electroreduction	APPLIED CATALYSIS B-ENVIRONMENTAL																Kang, Peng/H-4708-2011	Kang, Peng/0000-0002-6639-8299												0926-3373	1873-3883				AUG 5	2019	250						347	354		10.1016/j.apcatb.2019.03.041								WOS:000465051700034						
J	Tarot, ML; Iojoiu, EE; Lauga, V; Duprez, D; Courtois, X; Can, F				Tarot, Marie-Laure; Iojoiu, Eduard Emil; Lauga, Vincent; Duprez, Daniel; Courtois, Xavier; Can, Fabien			Influence of Na, P and (Na plus P) poisoning on a model copper-ferrierite NH3-SCR catalyst	APPLIED CATALYSIS B-ENVIRONMENTAL																Can, Fabien/H-1782-2012	Can, Fabien/0000-0002-8497-7796												0926-3373	1873-3883				AUG 5	2019	250						355	368		10.1016/j.apcatb.2019.03.044								WOS:000465051700035						
J	Wang, J; Xue, C; Yao, WQ; Liu, J; Gao, XX; Zong, RL; Yang, Z; Jin, WJ; Tao, DP				Wang, Jian; Xue, Chuang; Yao, Wenqing; Liu, Jun; Gao, Xingxing; Zong, Ruilong; Yang, Zhuang; Jin, Wenjie; Tao, Dongping			MOF-derived hollow TiO2@C/FeTiO3 nanoparticles as photoanodes with enhanced full spectrum light PEC activities	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						369	381		10.1016/j.apcatb.2019.03.002								WOS:000465051700036						
J	Chen, C; Ma, TF; Shang, YN; Gao, BY; Jin, B; Dan, HB; Li, Q; Yue, QY; Li, YW; Wang, Y; Xu, X				Chen, Cheng; Ma, Tengfei; Shang, Yanan; Gao, Baoyu; Jin, Bo; Dan, Hongbing; Li, Qian; Yue, Qinyan; Li, Yanwei; Wang, Yu; Xu, Xing			In-situ pyrolysis of Enteromorpha as carbocatalyst for catalytic removal of organic contaminants: Considering the intrinsic N/Fe in Enteromorpha and non-radical reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																Li, Yanwei/P-1920-2019	Li, Yanwei/0000-0003-4089-9789												0926-3373	1873-3883				AUG 5	2019	250						382	395		10.1016/j.apcatb.2019.03.048								WOS:000465051700037						
J	Chen, J; Chen, X; Yan, DX; Jiang, MZ; Xu, WJ; Yu, H; Jia, HP				Chen, Jin; Chen, Xi; Yan, Dongxu; Jiang, Mingzhu; Xu, Wenjian; Yu, Hao; Jia, Hongpeng			A facile strategy of enhancing interaction between cerium and manganese oxides for catalytic removal of gaseous organic contaminants	APPLIED CATALYSIS B-ENVIRONMENTAL																	Jia, Hongpeng/0000-0001-9558-5563												0926-3373	1873-3883				AUG 5	2019	250						396	407		10.1016/j.apcatb.2019.03.042								WOS:000465051700038						
J	Zhao, S; Zhao, X				Zhao, Shen; Zhao, Xu			Insights into the role of singlet oxygen in the photocatalytic hydrogen peroxide production over polyoxometalates-derived metal oxides incorporated into graphitic carbon nitride framework	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						408	418		10.1016/j.apcatb.2019.02.031								WOS:000465051700039						
J	Hamoud, HI; Valtchev, V; Daturi, M				Hamoud, Houeida Issa; Valtchev, Valentin; Daturi, Marco			Selective catalytic reduction of NOx over Cu- and Fe-exchanged zeolites and their mechanical mixture	APPLIED CATALYSIS B-ENVIRONMENTAL																Valtchev, Valentin/T-2998-2018	Valtchev, Valentin/0000-0002-2341-6397												0926-3373	1873-3883				AUG 5	2019	250						419	428		10.1016/j.apcatb.2019.02.022								WOS:000465051700040						
J	Rozsa, G; Nafradi, M; Alapi, T; Schrantz, K; Szabo, L; Wojnarovits, L; Takacs, E; Tungler, A				Rozsa, Georgina; Nafradi, Mate; Alapi, Tunde; Schrantz, Krisztina; Szabo, Laszlo; Wojnarovits, Laszlo; Takacs, Erzsebet; Tungler, Antal			Photocatalytic, photolytic and radiolytic elimination of imidacloprid from aqueous solution: Reaction mechanism, efficiency and economic considerations	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				AUG 5	2019	250						429	439		10.1016/j.apcatb.2019.01.065								WOS:000465051700041						
J	Li, Q; Zhao, TT; Li, M; Li, WT; Yang, B; Qin, DR; Lv, KL; Wang, X; Wu, LM; Wu, XF; Sun, J				Li, Qin; Zhao, Tingting; Li, Mei; Li, Wenting; Yang, Bin; Qin, Dongran; Lv, Kangle; Wang, Xian; Wu, Lamei; Wu, Xiaofeng; Sun, Jie			One-step construction of Pickering emulsion via commercial TiO2 nanoparticles for photocatalytic dye degradation	APPLIED CATALYSIS B-ENVIRONMENTAL																	Lv, Kangle/0000-0001-8764-0892												0926-3373	1873-3883				JUL 15	2019	249						1	8		10.1016/j.apcatb.2019.02.057								WOS:000464487500001						
J	Dai, QG; Wu, JY; Deng, W; Hu, JS; Wu, QQ; Guo, LM; Sun, W; Zhan, WC; Wang, XY				Dai, Qiguang; Wu, Jinyan; Deng, Wei; Hu, Jiasu; Wu, Qingqing; Guo, Limin; Sun, Wei; Zhan, Wangcheng; Wang, Xingyi			Comparative studies of P/CeO2 and Ru/CeO2 catalysts for catalytic combustion of dichloromethane: From effects of H2O to distribution of chlorinated by-products	APPLIED CATALYSIS B-ENVIRONMENTAL																QIAN, LIU/S-1353-2019	ZHAN, WANGCHENG/0000-0002-0712-4917												0926-3373	1873-3883				JUL 15	2019	249						9	18		10.1016/j.apcatb.2019.02.065								WOS:000464487500002						
J	Lu, FF; Xia, T; Li, Q; Wang, JP; Huo, LH; Zhao, H				Lu, Feifei; Xia, Tian; Li, Qiang; Wang, Jingping; Huo, Lihua; Zhao, Hui			Heterostructured simple perovskite nanorod-decorated double perovskite cathode for solid oxide fuel cells: Highly catalytic activity, stability and CO2-durability for oxygen reduction reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						19	31		10.1016/j.apcatb.2019.02.056								WOS:000464487500003						
J	Dissanayake, D; Achola, LA; Kerns, P; Rathnayake, D; He, JK; Macharia, J; Suib, SL				Dissanayake, Deepamali; Achola, Laura A.; Kerns, Peter; Rathnayake, Dinithi; He, Junkai; Macharia, John; Suib, Steven L.			Aerobic oxidative coupling of amines to imines by mesoporous copper aluminum mixed metal oxides via generation of Reactive Oxygen Species (ROS)	APPLIED CATALYSIS B-ENVIRONMENTAL																	Suib, Steven/0000-0003-3073-311X												0926-3373	1873-3883				JUL 15	2019	249						32	41		10.1016/j.apcatb.2019.02.037								WOS:000464487500004						
J	Espinosa, JC; Manickam-Periyaraman, P; Bernat-Quesada, F; Sivanesan, S; Alvaro, M; Garcia, H; Navalon, S				Espinosa, Juan C.; Manickam-Periyaraman, Premkumar; Bernat-Quesada, Francisco; Sivanesan, Subramanian; Alvaro, Mercedes; Garcia, Hermenegildo; Navalon, Sergio			Engineering of activated carbon surface to enhance the catalytic activity of supported cobalt oxide nanoparticles in peroxymonosulfate activation	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						42	53		10.1016/j.apcatb.2019.02.043								WOS:000464487500005						
J	Kang, W; Guo, H; Varma, A				Kang, Wooram; Guo, Heng; Varma, Arvind			Noble-metal-free NiCu/CeO2 catalysts for H-2 generation from hydrous hydrazine	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						54	62		10.1016/j.apcatb.2019.02.066								WOS:000464487500006						
J	Li, JL; Hu, RJ; Qu, H; Su, Y; Wang, N; Su, HQ; Gu, XJ				Li, Jianli; Hu, Ruijue; Qu, Hao; Su, Yue; Wang, Na; Su, Haiquan; Gu, Xiaojun			Radio-frequency thermal plasma-induced novel chainmail-like core-shell MoO2 as highly stable catalyst for converting syngas to higher alcohols	APPLIED CATALYSIS B-ENVIRONMENTAL																; Qu, Hao/G-9040-2015	Su, Haiquan/0000-0003-2164-3219; Qu, Hao/0000-0002-6550-9954												0926-3373	1873-3883				JUL 15	2019	249						63	71		10.1016/j.apcatb.2019.02.060								WOS:000464487500007						
J	Jang, WJ; Shim, JO; Jeon, KW; Na, HS; Kim, HM; Lee, YL; Roh, HS; Jeong, DW				Jang, Won-Jun; Shim, Jae-Oh; Jeon, Kyung-Won; Na, Hyun-Suk; Kim, Hak-Min; Lee, Yeol-Lim; Roh, Hyun-Seog; Jeong, Dae-Woon			Design and scale-up of a Cr-free Fe-Al-Cu catalyst for hydrogen production from waste-derived synthesis gas	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						72	81		10.1016/j.apcatb.2019.02.036								WOS:000464487500008						
J	Liu, XJ; Liu, BB; Li, L; Zhuge, ZH; Chen, PB; Li, C; Gong, YY; Niu, LY; Liu, JY; Lei, L; Sun, CQ				Liu, Xinjuan; Liu, Baibai; Li, Lei; Zhuge, Zhihao; Chen, Pengbin; Li, Can; Gong, Yinyan; Niu, Lengyuan; Liu, Junying; Lei, Lei; Sun, Chang Q.			Cu2In2ZnS5/Gd2O2S:Tb for full solar spectrum photoreduction of Cr(VI) and CO2 from UV/vis to near-infrared light	APPLIED CATALYSIS B-ENVIRONMENTAL																QIAN, LIU/S-1353-2019; Liu, Xinjuan/F-2218-2015	Liu, Xinjuan/0000-0002-3041-6635												0926-3373	1873-3883				JUL 15	2019	249						82	90		10.1016/j.apcatb.2019.02.061								WOS:000464487500009						
J	Wang, DW; Li, Q; Han, C; Xing, ZC; Yang, XR				Wang, Dewen; Li, Qun; Han, Ce; Xing, Zhicai; Yang, Xiurong			Single-atom ruthenium based catalyst for enhanced hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																	Han, Ce/0000-0002-4145-9294												0926-3373	1873-3883				JUL 15	2019	249						91	97		10.1016/j.apcatb.2019.02.059								WOS:000464487500010						
J	Yang, LJ; Zeng, LL; Liu, H; Deng, YQ; Zhou, ZQ; Yu, JY; Liu, H; Zhou, WJ				Yang, Linjing; Zeng, Lili; Liu, Hui; Deng, Yunqie; Zhou, Ziqian; Yu, Jiayuan; Liu, Hong; Zhou, Weijia			Hierarchical microsphere of MoNi porous nanosheets as electrocatalyst and cocatalyst for hydrogen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						98	105		10.1016/j.apcatb.2019.02.062								WOS:000464487500011						
J	Tathod, AP; Hayek, N; Shpasser, D; Simakov, DSA; Gazit, OM				Tathod, Anup P.; Hayek, Naseem; Shpasser, Dina; Simakov, David S. A.; Gazit, Oz M.			Mediating interaction strength between nickel and zirconia using a mixed oxide nanosheets interlayer for methane dry reforming	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						106	115		10.1016/j.apcatb.2019.02.040								WOS:000464487500012						
J	Lv, H; Wang, Y; Lopes, A; Xu, DD; Liu, B				Lv, Hao; Wang, Yang; Lopes, Aaron; Xu, Dongdong; Liu, Ben			Ultrathin PdAg single-crystalline nanowires enhance ethanol oxidation electrocatalysis	APPLIED CATALYSIS B-ENVIRONMENTAL																	Liu, Ben/0000-0003-1305-5900												0926-3373	1873-3883				JUL 15	2019	249						116	125		10.1016/j.apcatb.2019.02.068								WOS:000464487500013						
J	Irfan, M; Sevim, M; Kocak, Y; Balci, M; Metin, O; Ozensoy, E				Irfan, Muhammad; Sevim, Melike; Kocak, Yusuf; Balci, Merve; Metin, Onder; Ozensoy, Emrah			Enhanced photocatalytic NOx oxidation and storage under visible-light irradiation by anchoring Fe3O4 nanoparticles on mesoporous graphitic carbon nitride (mpg-C3N4)	APPLIED CATALYSIS B-ENVIRONMENTAL																	Kocak, Yusuf/0000-0003-4511-1321												0926-3373	1873-3883				JUL 15	2019	249						126	137		10.1016/j.apcatb.2019.02.067								WOS:000464487500014						
J	Tian, B; Gao, W; Ning, XF; Wu, YQ; Lu, GX				Tian, Bin; Gao, Wei; Ning, Xiaofeng; Wu, Yuqi; Lu, Gongxuan			Enhancing water splitting activity by protecting hydrogen evolution activity site from poisoning of oxygen species	APPLIED CATALYSIS B-ENVIRONMENTAL																Wu, Yuqi/C-9700-2013	Wu, Yuqi/0000-0003-3554-6161												0926-3373	1873-3883				JUL 15	2019	249						138	146		10.1016/j.apcatb.2019.02.051								WOS:000464487500015						
J	Li, GL; Zhang, XB; Zhang, H; Liao, CY; Jiang, GB				Li, Guoliang; Zhang, Xiaobing; Zhang, He; Liao, Chunyang; Jiang, Guibin			Bottom-up MOF-intermediated synthesis of 3D hierarchical flower-like cobalt-based homobimetallic phophide composed of ultrathin nanosheets for highly efficient oxygen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						147	154		10.1016/j.apcatb.2019.03.007								WOS:000464487500016						
J	Xu, J; Holthaus, P; Yang, NJ; Jiang, SY; Heupel, A; Schonherr, H; Yang, B; Krumm, W; Jiang, X				Xu, Jing; Holthaus, Philip; Yang, Nianjun; Jiang, Siyu; Heupel, Alwin; Schoenherr, Holger; Yang, Bing; Krumm, Wolfgang; Jiang, Xin			Catalytic tar removal using TiO2/NiWO4-Ni5TiO7 films	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						155	162		10.1016/j.apcatb.2019.03.006								WOS:000464487500017						
J	Zang, DJ; Huang, YC; Li, Q; Tang, YJ; Wei, YG				Zang, Dejin; Huang, Yichao; Li, Qi; Tang, Yajie; Wei, Yongge			Cu dendrites induced by the Anderson-type polyoxometalate NiMo6O24 as a promising electrocatalyst for enhanced hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUL 15	2019	249						163	171		10.1016/j.apcatb.2019.02.039								WOS:000464487500018						
