PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhang, N; Chen, KK; Guo, S; Wang, P; Zhang, M; Zhao, JZ; Zhang, ZM; Lu, TB				Zhang, Nan; Chen, Kai-Kai; Guo, Song; Wang, Ping; Zhang, Min; Zhao, Jianzhang; Zhang, Zhi-Ming; Lu, Tong-Bu			Sensitizing Ru(II) polyimine redox center with strong light-harvesting coumarin antennas to mimic energy flow of biological model for efficient hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						105	110		10.1016/j.apcatb.2019.04.039								WOS:000469904500012						
J	Feng, YH; Li, WL; Meng, MJ; Yin, HB; Mi, JL				Feng, Yonghai; Li, Wanli; Meng, Minjia; Yin, Hengbo; Mi, Jianli			Mesoporous Sn(IV) doping MCM-41 supported Pd nanoparticles for enhanced selective catalytic oxidation of 1,2-propanediol to pyruvic acid	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						111	120		10.1016/j.apcatb.2019.04.051								WOS:000469904500013						
J	Huo, LL; Liu, BC; Li, H; Cao, B; Hu, XC; Fu, XP; Jia, CJ; Zhang, J				Huo, Lili; Liu, Baocang; Li, Huan; Cao, Bo; Hu, Xiu-cui; Fu, Xin-pu; Jia, Chunjiang; Zhang, Jun			Component synergy and armor protection induced superior catalytic activity and stability of ultrathin Co-Fe spinel nanosheets confined in mesoporous silica shells for ammonia decomposition reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						121	130		10.1016/j.apcatb.2019.04.053								WOS:000469904500014						
J	Yang, R; Zhou, YM; Xing, YY; Li, D; Jiang, DL; Chen, M; Shi, WD; Yuan, SQ				Yang, Rong; Zhou, Yimeng; Xing, Yingying; Li, Di; Jiang, Deli; Chen, Min; Shi, Weidong; Yuan, Shouqi			Synergistic coupling of CoFe-LDH arrays with NiFe-LDH nanosheet for highly efficient overall water splitting in alkaline media	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						131	139		10.1016/j.apcatb.2019.04.054								WOS:000469904500015						
J	Bu, LJ; Ding, J; Zhu, NY; Kong, MH; Wu, YT; Shi, Z; Zhou, SQ; Dionysiou, DD				Bu, Lingjun; Ding, Jing; Zhu, Ningyuan; Kong, Minghao; Wu, Yangtao; Shi, Zhou; Zhou, Shiqing; Dionysiou, Dionysios D.			Unraveling different mechanisms of persulfate activation by graphite felt anode and cathode to destruct contaminants of emerging concern	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						140	148		10.1016/j.apcatb.2019.04.030								WOS:000469904500016						
J	Liu, XY; Huang, F; Yu, Y; Zhao, P; Zhou, YB; He, YD; Xu, YH; Zhang, YJ				Liu, Xiyang; Huang, Fei; Yu, Yang; Zhao, Peng; Zhou, Yuanbo; He, Yide; Xu, Yanhua; Zhang, Yongjun			Ofloxacin degradation over Cu-Ce tyre carbon catalysts by the microwave assisted persulfate process	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						149	159		10.1016/j.apcatb.2019.04.047								WOS:000469904500017						
J	Qi, CX; Zheng, YH; Lin, H; Su, HJ; Sun, X; Sun, LB				Qi, Caixia; Zheng, Yuhua; Lin, Hui; Su, Huijuan; Sun, Xun; Sun, Libo			CO oxidation over gold catalysts supported on CuO/Cu2O both in O-2-rich and H-2-rich streams: Necessity of copper oxide	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						160	169		10.1016/j.apcatb.2019.03.081								WOS:000469904500018						
J	Ni, J; Leng, WH; Mao, J; Wang, JG; Lin, JY; Jiang, DH; Li, XN				Ni, Jun; Leng, Wenhua; Mao, Jun; Wang, Jianguo; Lin, Jianyi; Jiang, Dahao; Li, Xiaonian			Tuning electron density of metal nickel by support defects in Ni/ZrO2 for selective hydrogenation of fatty acids to alkanes and alcohols	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						170	178		10.1016/j.apcatb.2019.04.043								WOS:000469904500019						
J	Kusiak-Nejman, E; Morawski, AW				Kusiak-Nejman, Ewelina; Morawski, Antoni W.			TiO2/graphene-based nanocomposites for water treatment: A brief overview of charge carrier transfer, antimicrobial and photocatalytic performance	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						179	186		10.1016/j.apcatb.2019.04.055								WOS:000469904500020						
J	Choi, M; Ahn, CY; Lee, H; Kim, JK; Oh, SH; Hwang, W; Yang, S; Kim, J; Kim, OH; Choi, I; Sung, YE; Cho, YH; Rhee, CK; Shin, W				Choi, Mihwa; Ahn, Chi-Yeong; Lee, Hyunjoon; Kim, Jong Kwan; Oh, Seung-Hyeon; Hwang, Wonchan; Yang, Seugran; Kim, Jungsuk; Kim, Ok-Hee; Choi, Insoo; Sung, Yung-Eun; Cho, Yong-Hun; Rhee, Choong Kyun; Shin, Woonsup			Bi-modified Pt supported on carbon black as electro-oxidation catalyst for 300 W formic acid fuel cell stack	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						187	195		10.1016/j.apcatb.2019.04.059								WOS:000469904500021						
J	Tian, N; Xiao, K; Zhang, YH; Lu, XX; Ye, LQ; Gao, PX; Ma, TY; Huang, HW				Tian, Na; Xiao, Ke; Zhang, Yihe; Lu, Xingxu; Ye, Liqun; Gao, Puxian; Ma, Tianyi; Huang, Hongwei			Reactive sites rich porous tubular yolk-shell g-C3N4 via precursor recrystallization mediated microstructure engineering for photoreduction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						196	205		10.1016/j.apcatb.2019.04.036								WOS:000469904500022						
J	Dong, XB; Ren, BX; Sun, ZM; Li, CQ; Zhang, XW; Kong, MH; Zheng, SL; Dionysiou, DD				Dong, Xiongbo; Ren, Bangxing; Sun, Zhiming; Li, Chunquan; Zhang, Xiangwei; Kong, Minghao; Zheng, Shuilin; Dionysiou, Dionysios D.			Monodispersed CuFe2O4 nanoparticles anchored on natural kaolinite as highly efficient peroxymonosulfate catalyst for bisphenol A degradation	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						206	217		10.1016/j.apcatb.2019.04.052								WOS:000469904500023						
J	Cerrato, G; Galli, F; Boffito, DC; Operti, L; Bianchi, CL				Cerrato, Giuseppina; Galli, Federico; Boffito, Daria C.; Operti, Lorenza; Bianchi, Claudia L.			Correlation preparation parameters/activity for microTiO(2) decorated with SilverNPs for NOx photodegradation under LED light	APPLIED CATALYSIS B-ENVIRONMENTAL																; Boffito, Daria Camilla/N-4405-2015	Cerrato, Giuseppina/0000-0001-8536-1398; Boffito, Daria Camilla/0000-0002-5252-5752												0926-3373	1873-3883				SEP 15	2019	253						218	225		10.1016/j.apcatb.2019.04.056								WOS:000469904500024						
J	Mohamed, BA; Ellis, N; Kim, CS; Bi, XT				Mohamed, Badr A.; Ellis, Naoko; Kim, Chang Soo; Bi, Xiaotao			Microwave-assisted catalytic biomass pyrolysis: Effects of catalyst mixtures	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						226	234		10.1016/j.apcatb.2019.04.058								WOS:000469904500025						
J	Hoa, VH; Tran, DT; Le, HT; Kim, NH; Lee, JH				Van Hien Hoa; Duy Thanh Tran; Huu Tuan Le; Kim, Nam Hoon; Lee, Joong Hee			Hierarchically porous nickel cobalt phosphide nanoneedle arrays loaded micro-carbon spheres as an advanced electrocatalyst for overall water splitting application	APPLIED CATALYSIS B-ENVIRONMENTAL																Kim, Nam Hoon/B-2122-2013	Kim, Nam Hoon/0000-0001-5122-9567												0926-3373	1873-3883				SEP 15	2019	253						235	245		10.1016/j.apcatb.2019.04.017								WOS:000469904500026						
J	Du, F; Shi, L; Zhang, YT; Li, T; Wang, JL; Wen, GH; Alsaedi, A; Hayat, T; Zhou, Y; Zou, ZG				Du, Feng; Shi, Li; Zhang, Yintong; Li, Tao; Wang, Jinlan; Wen, Guihua; Alsaedi, Ahmed; Hayat, Tasawar; Zhou, Yong; Zou, Zhigang			Foam-like Co9S8/Ni3S2 heterostructure nanowire arrays for efficient bifunctional overall water-splitting	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						246	252		10.1016/j.apcatb.2019.04.067								WOS:000469904500027						
